route_id,direction_id,route_code,shape_id_counts,shape_ids_list,count_of_different_stop_ids,different_stop_ids,stop_names_list
206-13168,1,206,2,"2060174_JUNE23,2060178_JUNE23",0,[],
207-13168,0,207,2,"2070298_JUNE23,2070299_JUNE23",0,[],
207-13168,1,207,3,"2070289_JUNE23,2070300_JUNE23,2070301_JUNE23",3,"[14008, 13994, 862]","Crenshaw Station, Van Ness / 120th, Van Ness / Imperial"
210-13168,0,210,4,"2100319_JUNE23,2100333_JUNE23,2100334_JUNE23,2100335_JUNE23",0,[],
210-13168,1,210,2,"2100330_JUNE23,2100331_JUNE23",1,[13000137],6th / Private Right-Of-Way
211-13168,0,211,2,"2110087_JUNE23,2110088_JUNE23",0,[],
211-13168,0,215,2,"2110087_JUNE23,2110088_JUNE23",25,"[2688, 2689, 2690, 19149, 4951, 4953, 4954, 3173, 4456, 5163, 5164, 5165, 141035, 141036, 5169, 5170, 10102, 2680, 2681, 2682, 2683, 2684, 2685, 2686, 2687]","Inglewood / 118th, Inglewood / 120th, Inglewood / 138th, Inglewood / 147th, Inglewood / 124th, Inglewood / El Segundo, Inglewood / Imperial, Inglewood / 130th, Inglewood / 132nd, Inglewood / 134th, Inglewood / Rosecrans, Marine / Inglewood, Marine / RR-Xing, Eucalyptus / Kelso, Eucalyptus / Manchester, Eucalyptus / Spruce, Inglewood / Lennox, Inglewood / 104th, Inglewood / 111th, Inglewood / Century, Inglewood / 96th, Manchester / Grevillea, Marine / Redondo Beach Station, Eucalyptus / Arbor Vitae, Inglewood / Arbor Vitae"
212-13168,0,212,2,"2120228_JUNE23,2120231_JUNE23",12,"[20400003, 141031, 141032, 1994, 5421, 5422, 2960, 2961, 4402, 142195, 16115, 10100]","Hawthorne / Lennox Station Layover, Lennox / Hawthorne, Prairie / 107th, Prairie / Arbor Vitae, Prairie / Pincay, Prairie / Century, Manchester / Spruce, Manchester / Prairie, Prairie / 104th, Prairie / Hardy, Lennox / Freeman, Hawthorne / Lennox Station"
212-13168,1,212,2,"2120229_JUNE23,2120230_JUNE23",11,"[12864, 13826, 12866, 13828, 1994, 2604, 7826, 11449, 1564, 12862, 12863]","Manchester / Tamarack, Hawthorne / Lennox Station Layover, Hawthorne / Imperial, Manchester / Prairie, Prairie / Lennox, Prairie / Arbor Vitae, Prairie / Hardy, Prairie / Kelso, Prairie / 111th, Prairie / 104th, Prairie / Century"
217-13168,0,217,5,"2170321_JUNE23,2170322_JUNE23,2170323_JUNE23,2170324_JUNE23,2170325_JUNE23",1,[16535],Washington Fairfax Terminal
217-13168,1,217,7,"2170308_JUNE23,2170309_JUNE23,2170310_JUNE23,2170317_JUNE23,2170330_JUNE23,2170331_JUNE23,2170332_JUNE23",3,"[16536, 16530, 16535]","Washington / Fairfax, Washington Fairfax Terminal, Washington Fairfax Hub"
218-13168,0,218,2,"2180038_JUNE23,2180039_JUNE23",2,"[32164, 639]","Ventura Pl / Ventura, Ventura Pl / Ventura"
218-13168,1,218,2,"2180031_JUNE23,2180032_JUNE23",1,[32164],Ventura Pl / Ventura
222-13168,0,222,2,"2220080_JUNE23,2220082_JUNE23",14,"[11010, 548, 551, 3432, 554, 9132, 556, 558, 9135, 13000144, 9137, 9138, 16889, 16890]","Cahuenga / Universal Studios, Cahuenga / Regal Pl, Cahuenga / Barham, Cahuenga / Broadlawn, Cahuenga / Oakshire, Cahuenga / Iris, Cahuenga / Franklin, 2700 Cahuenga, Cahuenga / John Anson Ford Theatre, Cahuenga / Lakeridge, Hollywood / Vine Station, Yucca / Ivar, Yucca / Cahuenga, Vine / Hollywood"
